cores,cm-ebpf,cm-LKM,unimon-ebpf,unimon-LKM,unimon-noinv,unimon-inv,nitro-ebpf,nitro-LKM,nitro-noinv,nitro-inv
1,2.00,3.92,1.81,2.93,2.14,2.65,4.50,4.83,4.55,5.00
2,5.51,9.46,3.45,5.35,5.08,5.39,8.08,11.98,8.91,10.02
3,5.99,12.02,4.44,7.75,6.47,6.24,10.54,19.31,14.85,14.06
4,11.48,17.98,6.45,10.27,10.98,9.35,16.28,21.30,20.78,21.86
5,10.11,16.26,7.28,11.48,13.39,11.42,19.58,27.26,26.34,25.72
6,12.11,21.82,9.00,17.01,14.48,14.01,19.50,31.47,28.57,25.46
7,14.38,23.50,11.04,19.48,18.69,15.54,24.62,37.98,35.38,36.43
8,17.47,31.51,11.28,19.69,18.09,18.08,28.33,44.32,41.21,42.16
9,17.67,35.20,12.26,21.25,20.25,20.29,34.12,65.37,48.27,47.87
10,22.31,36.71,15.72,26.83,24.61,22.80,32.42,60.71,44.98,49.02
11,21.65,39.25,15.14,26.85,27.10,26.02,41.82,62.18,54.04,48.19
12,22.74,45.50,17.71,32.90,30.80,26.63,38.91,74.84,57.97,59.92
13,26.29,43.58,18.34,32.88,31.17,27.69,39.85,80.78,55.81,58.70
14,25.46,51.11,19.69,34.89,33.70,30.04,44.85,81.66,58.65,67.28
15,28.80,50.07,20.98,37.48,36.39,33.38,51.67,89.53,67.85,69.08
16,35.35,51.79,23.41,43.02,38.03,36.75,55.99,83.00,76.60,67.87
17,37.62,55.38,24.45,46.91,40.45,39.05,54.06,98.73,77.33,79.92
18,37.96,66.16,25.42,44.15,43.88,39.41,56.98,104.88,84.31,76.43
19,36.56,59.92,27.06,46.37,45.71,41.48,58.23,109.32,79.85,80.76
20,39.62,66.94,26.99,47.45,45.91,43.62,62.03,110.04,83.87,86.17
21,36.81,70.97,27.61,51.26,44.61,41.96,67.38,111.41,86.47,81.32
22,41.65,68.60,28.92,54.64,47.82,44.59,65.11,114.82,90.48,92.29
23,39.28,71.10,29.61,55.74,50.27,45.35,61.45,123.76,84.91,92.16
24,42.85,70.63,28.78,53.70,50.01,46.52,65.36,131.62,87.71,91.94
25,45.36,75.28,31.14,57.03,50.18,45.65,68.41,117.10,88.51,90.11
26,45.70,79.18,30.53,56.05,50.49,48.21,73.66,131.20,95.27,92.52
27,44.47,78.24,30.39,59.25,52.43,48.58,72.59,136.05,92.84,91.93
28,48.97,80.76,31.74,59.30,53.21,48.59,72.31,138.68,94.80,91.62
29,43.22,82.90,31.33,58.52,55.22,49.35,71.84,134.51,95.92,91.85
30,47.13,85.82,31.46,59.91,56.59,51.01,79.30,139.01,98.27,98.57
31,47.69,87.86,32.60,63.11,57.78,53.28,76.84,140.86,100.00,98.27
32,43.93,87.38,33.08,62.33,57.51,50.79,78.16,145.49,97.50,104.68
33,48.25,89.47,33.17,59.84,58.90,53.81,76.19,150.30,102.03,100.33
34,49.78,91.53,33.58,62.47,59.77,54.19,81.01,148.12,102.04,108.21
35,49.79,94.37,33.98,65.01,60.41,55.45,83.38,154.78,104.48,103.34
36,52.63,100.84,33.22,66.67,63.36,56.04,84.68,167.02,111.13,106.11
37,50.64,101.10,34.15,68.25,63.56,56.63,85.44,176.43,111.56,111.42
38,47.89,102.37,34.41,70.33,64.70,57.20,87.76,166.29,112.10,111.88
39,49.97,106.55,35.71,72.04,66.83,58.20,87.52,180.18,113.59,111.89
40,53.11,102.75,35.05,73.38,68.47,59.24,90.38,167.51,112.77,114.54
