cores,spinlock,carray,raw,dpdk_lpm,ebpf_lpm
1,14.08,14.28,24.38,12.66,8.26
2,11.49,28.36,42.54,25.15,16.00
3,2.31,42.85,61.21,42.25,26.94
4,2.54,56.73,93.00,50.31,31.62
5,2.88,70.02,110.60,65.61,39.81
6,2.72,92.77,122.01,80.71,49.38
7,2.83,106.74,155.52,88.44,55.80
8,2.82,117.63,176.76,105.25,62.19
9,2.88,131.26,179.17,111.10,69.70
10,2.73,134.57,196.43,123.29,76.27
11,2.75,151.23,231.31,134.73,81.97
12,2.73,162.87,223.91,148.28,89.55
13,2.75,173.13,249.95,155.17,95.10
14,2.62,186.82,267.34,162.50,101.86
15,2.80,195.12,289.52,174.67,106.68
16,2.83,202.03,297.27,182.58,112.57
17,2.75,225.93,318.57,196.04,119.07
18,2.81,229.92,340.63,205.17,127.30
19,2.77,242.25,362.02,215.76,132.86
20,2.76,251.07,378.00,224.32,132.00
21,2.84,261.22,375.89,227.29,141.38
22,2.87,258.52,379.24,231.00,140.32
23,2.84,262.24,390.92,230.18,140.20
24,2.85,269.38,379.64,231.96,142.88
25,2.85,265.82,385.98,233.54,144.00
26,2.85,274.54,391.37,234.70,146.19
27,2.82,275.38,392.51,236.98,147.59
28,2.82,272.48,397.91,239.88,147.44
29,2.78,283.42,402.34,247.33,146.99
30,2.82,281.14,388.55,246.49,152.64
31,2.79,276.68,395.10,239.45,152.22
32,2.69,281.91,386.95,238.79,150.85
33,2.77,275.88,385.44,240.91,148.99
34,2.73,278.40,386.71,220.13,147.84
35,2.69,273.29,380.51,235.38,145.15
36,2.70,267.64,377.36,227.63,145.86
37,2.68,267.89,367.78,211.71,144.34
38,2.62,264.21,368.90,225.19,139.84
39,2.59,261.28,360.39,224.69,135.20
40,2.65,259.43,361.39,212.95,133.36
