cores,cm-ebpf,cm-LKM,unimon-ebpf,unimon-LKM,unimon-noinv,unimon-inv,nitro-ebpf,nitro-LKM,nitro-noinv,nitro-inv
1,2.00,3.17,1.78,2.58,3.23,1.98,2.90,6.33,4.90,5.08
2,2.93,4.12,1.68,2.68,2.17,2.01,3.42,6.58,4.40,4.51
3,2.02,3.49,1.34,2.77,2.48,2.16,3.08,6.47,4.28,4.71
4,1.98,3.94,1.64,2.33,2.53,2.12,3.58,7.02,4.36,5.06
5,2.20,3.47,1.83,2.83,2.86,2.75,4.08,5.75,4.93,5.07
6,2.29,4.16,1.77,2.81,2.87,2.44,3.77,7.23,5.50,5.63
7,2.07,3.35,1.39,2.61,2.22,2.08,3.19,6.42,4.52,4.64
8,2.37,4.09,1.58,2.99,2.78,2.38,3.88,6.03,4.00,5.08
9,2.28,4.08,1.55,2.78,2.32,2.20,3.59,6.33,5.32,5.34
10,2.07,3.75,1.49,2.66,2.31,2.21,3.34,6.07,4.91,4.77
11,2.19,3.36,1.42,2.65,2.60,2.53,3.18,6.37,4.83,4.73
12,2.18,3.77,1.47,2.53,2.37,2.26,3.27,6.31,4.91,4.89
13,2.31,3.61,1.41,2.71,2.30,2.23,3.45,6.06,4.63,4.67
14,2.03,3.39,1.37,2.50,2.49,2.19,3.16,5.58,4.32,4.15
15,1.94,3.50,1.41,2.65,2.45,2.23,3.25,5.52,4.78,4.50
16,2.10,3.22,1.51,2.58,2.39,2.17,3.11,5.83,4.30,4.44
17,2.12,3.50,1.40,2.42,2.41,2.16,3.20,6.13,4.76,4.93
18,1.94,3.31,1.38,2.69,2.39,2.15,3.33,5.98,4.22,4.41
19,1.90,3.28,1.41,2.56,2.46,2.13,3.35,5.73,4.09,4.65
20,1.89,3.23,1.35,2.44,2.18,2.13,3.18,5.44,4.46,4.22
21,1.86,3.10,1.35,2.43,2.24,2.00,2.96,5.61,3.83,3.98
22,1.86,3.09,1.32,2.33,2.25,2.07,3.02,4.61,3.87,4.00
23,1.85,3.15,1.27,2.33,2.24,2.05,3.08,5.10,3.87,3.48
24,1.75,3.10,1.24,2.29,2.03,1.92,2.83,5.43,3.86,3.29
25,1.69,2.94,1.21,2.15,2.02,1.85,2.70,4.68,3.60,3.38
26,1.59,2.92,1.15,2.11,2.05,1.83,2.62,4.84,3.63,3.33
27,1.72,2.96,1.15,2.12,2.00,1.76,2.65,4.68,3.39,3.32
28,1.63,2.90,1.16,2.13,1.81,1.76,2.58,4.87,3.51,3.29
29,1.58,2.84,1.11,1.99,1.89,1.74,2.59,4.39,3.34,3.33
30,1.51,2.89,1.08,2.05,1.87,1.66,2.49,4.75,3.11,3.06
31,1.53,2.82,1.07,1.95,1.83,1.66,2.49,4.31,3.10,3.24
32,1.44,2.75,1.04,1.94,1.78,1.60,2.40,4.51,3.20,3.14
33,1.43,2.73,0.99,1.91,1.77,1.59,2.41,4.44,3.05,3.03
34,1.30,2.90,0.99,1.92,1.76,1.56,2.40,4.41,3.08,3.15
35,1.40,2.70,0.97,1.85,1.77,1.58,2.35,4.34,3.05,3.05
36,1.46,2.80,0.97,1.83,1.76,1.55,2.34,4.50,3.06,2.97
37,1.37,2.78,0.93,1.85,1.72,1.52,2.33,4.56,2.99,2.93
38,1.44,2.73,0.91,1.83,1.72,1.54,2.26,4.16,2.94,2.93
39,1.32,2.79,0.90,1.82,1.68,1.49,2.33,4.28,2.99,2.91
40,1.44,2.59,0.89,1.85,1.69,1.46,2.32,3.78,2.92,2.89
