flows,cm-ebpf,cm-LKM,unimon-ebpf,unimon-LKM,unimon-noinv,unimon-inv,nitro-ebpf,nitro-LKM,nitro-noinv,nitro-inv
1,46.41,73.85,29.49,52.25,48.31,45.47,68.54,122.84,91.61,92.65
2,46.45,73.35,29.31,52.31,48.64,45.16,68.43,121.91,92.74,92.18
4,46.61,72.95,29.50,52.14,47.57,43.71,68.60,122.32,94.09,92.57
8,46.65,72.74,28.94,52.39,47.90,42.64,68.32,120.66,92.76,90.25
16,46.32,72.08,28.41,50.75,47.08,42.26,68.44,122.24,93.00,91.99
32,46.48,72.88,27.83,50.42,47.16,42.35,68.66,123.22,92.06,91.68
64,46.09,72.67,27.18,47.04,47.01,40.39,68.44,122.09,94.83,91.45
128,46.07,72.21,28.05,45.91,46.68,39.71,68.70,117.05,93.28,91.51
256,46.03,72.33,29.66,46.76,46.77,39.78,67.70,122.43,93.94,92.12
512,46.39,72.94,30.32,46.84,46.79,39.65,68.15,120.66,93.67,91.82
1024,46.09,72.21,30.01,47.70,47.24,40.20,68.02,118.79,93.28,88.92
